"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Peel en Maas";1894;"Peel en Maas";43425;"02-09-2020";"15-09-2020";14;32,2;0;0;0;0
"Pekela";765;"Pekela";12196;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"02-09-2020";"15-09-2020";81;146,5;4;7,2;0;0
"Purmerend";439;"Purmerend";81249;"02-09-2020";"15-09-2020";40;49,2;1;1,2;0;0
"Putten";273;"Putten";24112;"02-09-2020";"15-09-2020";12;49,8;0;0;0;0
"Raalte";177;"Raalte";37712;"02-09-2020";"15-09-2020";14;37,1;0;0;0;0
"Reimerswaal";703;"Reimerswaal";22730;"02-09-2020";"15-09-2020";6;26,4;0;0;0;0
"Renkum";274;"Renkum";31419;"02-09-2020";"15-09-2020";22;70;0;0;0;0
"Renswoude";339;"Renswoude";5444;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"02-09-2020";"15-09-2020";11;83,9;0;0;0;0
"Rheden";275;"Rheden";43761;"02-09-2020";"15-09-2020";14;32;0;0;0;0
"Rhenen";340;"Rhenen";20119;"02-09-2020";"15-09-2020";9;44,7;0;0;0;0
"Ridderkerk";597;"Ridderkerk";46189;"02-09-2020";"15-09-2020";37;80,1;0;0;1;2,2
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"02-09-2020";"15-09-2020";11;28,8;0;0;0;0
"Rijswijk";603;"Rijswijk";54450;"02-09-2020";"15-09-2020";93;170,8;0;0;0;0
"Roerdalen";1669;"Roerdalen";20574;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Roermond";957;"Roermond";58260;"02-09-2020";"15-09-2020";31;53,2;1;1,7;0;0
"Roosendaal";1674;"Roosendaal";77251;"02-09-2020";"15-09-2020";33;42,7;0;0;0;0
"Rotterdam";599;"Rotterdam";651157;"02-09-2020";"15-09-2020";1291;198,3;30;4,6;1;0,2
"Rozendaal";277;"Rozendaal";1704;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Rucphen";840;"Rucphen";22878;"02-09-2020";"15-09-2020";6;26,2;0;0;0;0
"Schagen";441;"Schagen";46483;"02-09-2020";"15-09-2020";12;25,8;0;0;0;0
"Scherpenzeel";279;"Scherpenzeel";9880;"02-09-2020";"15-09-2020";0;0;0;0;0;0
